event_date,district,event_type,description
2023-10-17,District A,Maintenance,Maintenance scheduled for District A.
2022-04-25,District A,Maintenance,Maintenance scheduled for District A.
2022-01-26,District A,Maintenance,Maintenance scheduled for District A.
2022-10-09,District A,Maintenance,Maintenance scheduled for District A.
2022-09-08,District A,Maintenance,Maintenance scheduled for District A.
2022-08-17,District A,Upgrade,Upgrade scheduled for District A.
2022-05-23,District A,Upgrade,Upgrade scheduled for District A.
2022-04-15,District A,Maintenance,Maintenance scheduled for District A.
2023-11-24,District A,Upgrade,Upgrade scheduled for District A.
2023-07-13,District A,Maintenance,Maintenance scheduled for District A.
2022-03-31,District A,Upgrade,Upgrade scheduled for District A.
2023-08-28,District A,Upgrade,Upgrade scheduled for District A.
2023-03-09,District A,Upgrade,Upgrade scheduled for District A.
2023-07-13,District B,Upgrade,Upgrade scheduled for District B.
2023-03-06,District B,Outage,Outage scheduled for District B.
2022-08-14,District B,Outage,Outage scheduled for District B.
2023-04-05,District B,Outage,Outage scheduled for District B.
2023-08-27,District B,Maintenance,Maintenance scheduled for District B.
2022-10-12,District B,Maintenance,Maintenance scheduled for District B.
2022-01-07,District B,Outage,Outage scheduled for District B.
2022-06-13,District B,Maintenance,Maintenance scheduled for District B.
2022-04-05,District C,Upgrade,Upgrade scheduled for District C.
2023-01-25,District C,Outage,Outage scheduled for District C.
2022-04-10,District C,Upgrade,Upgrade scheduled for District C.
2023-01-03,District C,Upgrade,Upgrade scheduled for District C.
2022-12-19,District C,Outage,Outage scheduled for District C.
2023-09-11,District C,Upgrade,Upgrade scheduled for District C.
2022-09-28,District C,Maintenance,Maintenance scheduled for District C.
2022-02-14,District C,Upgrade,Upgrade scheduled for District C.
2023-04-16,District C,Maintenance,Maintenance scheduled for District C.
2023-07-04,District C,Maintenance,Maintenance scheduled for District C.
2022-05-08,District C,Upgrade,Upgrade scheduled for District C.
2023-01-23,District C,Maintenance,Maintenance scheduled for District C.
2022-03-22,District C,Outage,Outage scheduled for District C.
2022-03-23,District D,Outage,Outage scheduled for District D.
2022-08-27,District D,Maintenance,Maintenance scheduled for District D.
2022-04-14,District D,Outage,Outage scheduled for District D.
2023-01-25,District D,Outage,Outage scheduled for District D.
2022-10-12,District D,Maintenance,Maintenance scheduled for District D.
2023-04-10,District D,Upgrade,Upgrade scheduled for District D.
2023-10-13,District D,Outage,Outage scheduled for District D.
2023-12-20,District E,Upgrade,Upgrade scheduled for District E.
2023-12-01,District E,Maintenance,Maintenance scheduled for District E.
2023-10-26,District E,Upgrade,Upgrade scheduled for District E.
2022-03-15,District E,Upgrade,Upgrade scheduled for District E.
2023-09-16,District E,Maintenance,Maintenance scheduled for District E.
